rowid,FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
17,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Cannon Estate Winery Ltd,Cannon Estate Winery Ltd,Abbotsford,Abbotsford,British Columbia,Colombie-Britannique,,,0,108680
18,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Cave Spring Cellars,Cave Spring Cellars,Vineland,Vineland,Ontario,Ontario,,,0,519968
19,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Chateau des Charmes Wines Ltd,Chateau des Charmes Wines Ltd,St Catharines,St Catharines,Ontario,Ontario,,,0,204058
20,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Clos du Soleil Winery Inc,Clos du Soleil Winery Inc,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,102373
21,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Colio Estate Wines Inc,Colio Estate Wines Inc,Toronto,Toronto,Ontario,Ontario,,,0,1845890
22,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Desert Hills Estate Winery Inc,Desert Hills Estate Winery Inc,Penticton,Penticton,British Columbia,Colombie-Britannique,,,0,141558
23,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Diamond Estates Wines & Spirits Ltd,Diamond Estates Wines & Spirits Ltd,Toronto,Toronto,Ontario,Ontario,,,0,762257
24,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Dirty Laundry Vineyard Ltd,Dirty Laundry Vineyard Ltd,Fort McMurray,Fort McMurray,Alberta,Alberta,,,0,552272
25,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Domaine de Chaberton Estates Limite,Domaine de Chaberton Estates Limite,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,600820
26,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Earlco Wines Ltd,Earlco Wines Ltd,Penticton,Penticton,British Columbia,Colombie-Britannique,,,0,121615
