title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
No title - Aucun titre,No summary - Aucun sommaire,190749-1996,1996,1996-1997,"Pezacki, John",McMaster University,Chemistry,Ontario,11578.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Organic chemistry,Not available,No Co-Researcher,No Partners,10023,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10023
CHAOS: a large acceptance pion spectrometer for TRIUMF,No summary - Aucun sommaire,105209-1991,1991,1991-1992,"Smith, Gregory",TRIUMF,TRIUMF,British Columbia,100000.0,1-1,"Research Tools and Instruments - Category 2 ($150,000 - $325,000)",Subatomic Physics,Intermediate energy reactions,Physical sciences,No Co-Researcher,No Partners,100230,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100230
IPP-82.01 - The ZEUS experiment at HERA,No summary - Aucun sommaire,9009-1991,1991,1991-1992,"Smith, Gary",University of Manitoba,Physics,Manitoba,53000.0,1-2,Discovery Grants Program - Project,Subatomic Physics,Not available,Not available,No Co-Researcher,No Partners,100231,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100231
IEP-190 - Pion spin physics,No summary - Aucun sommaire,9414-1991,1991,1991-1992,"Smith, Gregory",TRIUMF,TRIUMF,British Columbia,165000.0,1-1,Discovery Grants Program - Project,Subatomic Physics,Intermediate energy reactions,Physical sciences,"Johnson, RichardJones, GarthMathie, EdwardSevior, MartinTacik, Roman",No Partners,100232,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100232
Properties of thin films,No summary - Aucun sommaire,2529-1991,1991,1991-1992,"Smith, Howard",University of Waterloo,Physics,Ontario,10000.0,1-1,Discovery Grants Program - Individual,Condensed Matter Physics,"Surfaces, interfaces and thin films",Physical sciences,No Co-Researcher,No Partners,100233,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100233
"Contribution of torsional deformation to overall vibration response of wood I joisted floors; to support visit by Debao Li, Tsinghua University, Beijing, China",No summary - Aucun sommaire,130777-1991,1991,1991-1992,"Smith, Ian",University of New Brunswick,Forest Engineering,New Brunswick,6900.0,1-1,International: Foreign Researcher (H),International Relations (H),Structural engineering,Materials performance,No Co-Researcher,No Partners,100234,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100234
Dynamic properties of wood floor-to-wall assembles,No summary - Aucun sommaire,4417-1990,1990,1991-1992,"Smith, Ian",University of New Brunswick,Forest Engineering,New Brunswick,16150.0,2-3,Discovery Grants Program - Individual,Civil Engineering,Structural engineering,Processed food products and beverages,No Co-Researcher,No Partners,100235,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100235
Rheology of nailed wood joints,No summary - Aucun sommaire,107800-1990,1990,1991-1992,"Smith, Ian",University of New Brunswick,Forest Engineering,New Brunswick,12500.0,1-2,Industrially Oriented Research Grants,University/Industry,Structural engineering,Materials performance,No Co-Researcher,Forintek Canada Corp.,100236,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100236
Non-invasive probes of cellular structure and biochemistry,No summary - Aucun sommaire,279-1989,1989,1991-1992,"Smith, Ian",University of Ottawa,Chemistry,Ontario,27922.0,3-3,Discovery Grants Program - Individual,Cell Biology & Genetics (H),Biophysics,Human pharmaceuticals,No Co-Researcher,No Partners,100237,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100237
No title - Aucun titre,No summary - Aucun sommaire,98696-1990,1990,1991-1992,"Smith, James",University of Waterloo,Earth Sciences,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Earth science (see also marine geology 4604),Not available,No Co-Researcher,No Partners,100238,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100238
