title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
Vortex dynamics,No summary - Aucun sommaire,38412-1994,1994,1996-1997,"Ahlborn, Boye",The University of British Columbia,Physics and Astronomy,British Columbia,10000.0,3-4,Discovery Grants Program - Individual,General Physics,Not available,Not available,No Co-Researcher,No Partners,1,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=1
No title - Aucun titre,No summary - Aucun sommaire,170674-1995,1995,1996-1997,"Airriess, Christopher",University of Cambridge,Zoology,Outside Canada,11911.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Life Sciences (H),Cell biology,Not available,No Co-Researcher,No Partners,10,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10
Groundwater treatment for aquifer thermal energy systems,No summary - Aucun sommaire,121956-1995,1995,1996-1997,"Adsett, John",Nova Scotia Agricultural College,Agricultural Engineering,Nova Scotia,14300.0,2-2,Discovery Grants Program - Group,Mechanical Engineering,Waste water treatment,Energy storage and conversion,"Sibley, Kevin",No Partners,100,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100
Representation of newspaper texts,No summary - Aucun sommaire,138879-1993,1993,1996-1997,"Bergler, Sabine",Concordia University,Computer Science,Québec,18000.0,4-5,Discovery Grants Program - Individual,Computing & Information Sci. (H),Natural language and speech understanding,Information systems and technology,No Co-Researcher,No Partners,1000,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=1000
Structure and function of the root epidermis,No summary - Aucun sommaire,560-1996,1996,1996-1997,"Peterson, Carol",University of Waterloo,Biology,Ontario,53500.0,1-4,Discovery Grants Program - Individual,Plant Biology & Food Science,Plant reproduction,Not available,No Co-Researcher,No Partners,10000,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10000
No title - Aucun titre,No summary - Aucun sommaire,120816-1991,1991,1991-1992,"Siddiqi, Nayyer",University of Toronto,Physics,Ontario,2640.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Applied geophysics,Not available,No Co-Researcher,No Partners,100000,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100000
No title - Aucun titre,No summary - Aucun sommaire,93690-1990,1990,1991-1992,"Siddiqi, Waseem",University of Toronto,Industrial Engineering,Ontario,2365.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Operations research and management science,Not available,No Co-Researcher,No Partners,100001,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100001
Optimization of spectral geoid determination methods,No summary - Aucun sommaire,46319-1990,1990,1991-1992,"Sideris, Michael",University of Calgary,Surveying Engineering,Alberta,25433.0,2-3,Discovery Grants Program - Individual,Civil Engineering,Survey engineering and remote sensing,Surveying and photogrammetry,No Co-Researcher,No Partners,100002,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100002
No title - Aucun titre,No summary - Aucun sommaire,118631-1991,1991,1991-1992,"Sidhu, Gurneen",Dalhousie University,Biology,Nova Scotia,2600.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Terrestrial ecology,Not available,No Co-Researcher,No Partners,100003,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100003
Adaptive relays for power system protection,No summary - Aucun sommaire,105638-1991,1991,1991-1992,"Sidhu, Tarlochan",University of Saskatchewan,Electrical Engineering,Saskatchewan,18000.0,1-3,Discovery Grants Program - Individual,Electrical Engineering (H),Power systems,Transport equipment,No Co-Researcher,No Partners,100004,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100004
Fault-tolerant distributed computation; FMS scheduling: theory and software aids; studies in partial order theory,No summary - Aucun sommaire,2507-1989,1989,1991-1992,"Sidney, Jeffrey",University of Ottawa,Administration (Faculty),Ontario,21000.0,3-3,Discovery Grants Program - Individual,Computing & Information Sci. (H),Logistics,Computer communications,No Co-Researcher,No Partners,100005,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100005
No title - Aucun titre,No summary - Aucun sommaire,111959-1991,1991,1991-1992,"Sieder, Felix",McGill University,Microbiology & Immunology,Québec,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,100006,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100006
Applications of differential inequalities,No summary - Aucun sommaire,9345-1990,1990,1991-1992,"Siegel, David",University of Waterloo,Applied Mathematics,Ontario,9000.0,2-3,Discovery Grants Program - Individual,Pure & Applied Mathematics (H),Asymptotics and applied classical analysis,Mathematical sciences,No Co-Researcher,No Partners,100007,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100007
The development of reading skills,No summary - Aucun sommaire,1607-1991,1991,1991-1992,"Siegel, Linda",Ontario Institute for Studies in Education,Instruction & Special Education,Ontario,41000.0,1-5,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Cognitive science -- development,Psychology,No Co-Researcher,No Partners,100008,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100008
Microcomputer system for the administration of reading tasks in several languages,No summary - Aucun sommaire,106267-1991,1991,1991-1992,"Siegel, Linda",Ontario Institute for Studies in Education,Instruction & Special Education,Ontario,10970.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)","Psychology: Brain, Behaviour & Cognitive Sciences",Cognitive science -- development,Psychology,No Co-Researcher,No Partners,100009,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100009
Investigation of children's narratives and eyewitness memory,No summary - Aucun sommaire,513-1993,1993,1996-1997,"Peterson, Carole",Memorial University of Newfoundland,Psychology,Newfoundland and Labrador,26000.0,4-4,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Not available,Life sciences (including biotechnology),No Co-Researcher,No Partners,10001,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10001
"Dev. of reading and math skills in children and learning disabilities;visit to the Institute of Psychology, Chinese Academy of Sciences, Beijing, China",No summary - Aucun sommaire,106359-1990,1990,1991-1992,"Siegel, Linda",Ontario Institute for Studies in Education,Instruction & Special Education,Ontario,2115.0,1-1,Bilateral Exchange Program (H),International Relations (H),Cognitive science -- development,Psychology,No Co-Researcher,No Partners,100010,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100010
No title - Aucun titre,No summary - Aucun sommaire,116358-1991,1991,1991-1992,"Siegel, Marc",University of Waterloo,Chemical Engineering,Ontario,11764.0,Not available,Canada International Fellowships (H),Schol/Fellow: Eng/Comp Science (H),Transport processes,Not available,No Co-Researcher,No Partners,100011,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100011
Pharmacological learning,No summary - Aucun sommaire,298-1991,1991,1991-1992,"Siegel, Shepard",McMaster University,Psychology,Ontario,65000.0,1-5,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Behavioural neuroscience,Psychology,No Co-Researcher,No Partners,100012,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100012
No title - Aucun titre,No summary - Aucun sommaire,118401-1991,1991,1991-1992,"Siemens, Ron",Cymbolic Sciences International,Head Office,British Columbia,3200.0,Not available,Experience Awards (previously Industrial Undergraduate Student Research Awards),Schol/Fellow: Eng/Comp Science (H),Software and development,Not available,No Co-Researcher,No Partners,100013,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100013
Mathematical questions of quantum-mechanical many-body problem,No summary - Aucun sommaire,7901-1989,1989,1991-1992,"Sigal, Israel",University of Toronto,Mathematics,Ontario,43000.0,3-3,Discovery Grants Program - Individual,Pure & Applied Mathematics (H),Mathematical physics,Mathematical sciences,No Co-Researcher,No Partners,100014,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100014
Taxonomy and ecology of microfungi,No summary - Aucun sommaire,3755-1990,1990,1991-1992,"Sigler, Lynne",University of Alberta,Devonian Botanic Garden,Alberta,18000.0,2-3,Discovery Grants Program - Individual,Plant Biology & Food Science,Not available,Agriculture and primary food production,No Co-Researcher,No Partners,100015,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100015
University of Alberta microfungus and herbarium (UAMH),No summary - Aucun sommaire,24195-1990,1990,1991-1992,"Sigler, Lynne",University of Alberta,Devonian Botanic Garden,Alberta,22000.0,2-3,Infrastructure Grants (H),Interdisciplinary,Other studies in natural sciences and engineering,Agriculture and primary food production,"Currah, Randolph",No Partners,100016,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100016
"Past and Present Perspectives, and Future Directions of Physical Anthropology/Human Evolutionary Research in Central and Eastern Europe, Near Guelph or Hamiltion, November 1991",No summary - Aucun sommaire,109687-1991,1991,1991-1992,"Sigmon, Becky",Other University,Anthropology,Other in Canada,10000.0,1-1,Conference Grants (H),Evolution & Ecology,Not available,Not available,No Co-Researcher,No Partners,100017,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100017
No title - Aucun titre,No summary - Aucun sommaire,109342-1991,1991,1991-1992,"Sigurdson, Andrea",University of Victoria,Biochemistry & Microbiology,British Columbia,14996.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,100018,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100018
Three-dimensional vortex structure and interaction,No summary - Aucun sommaire,41747-1989,1989,1991-1992,"Sigurdson, Lorenz",University of Alberta,Mechanical Engineering,Alberta,17654.0,3-3,Discovery Grants Program - Individual,Mechanical Engineering,Fluid mechanics,Not available,No Co-Researcher,No Partners,100019,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100019
No title - Aucun titre,No summary - Aucun sommaire,188534-1996,1996,1996-1997,"Peterson, Jennifer",University of New Brunswick,Biology (Fredericton),New Brunswick,15616.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Terrestrial ecology,Not available,No Co-Researcher,No Partners,10002,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10002
No title - Aucun titre,No summary - Aucun sommaire,102776-1990,1990,1991-1992,"Sigurdson, Wade",State University of New York at Buffalo,Biophysical Sciences,New York,19408.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Life Sciences (H),Biophysics,Not available,No Co-Researcher,No Partners,100020,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100020
No title - Aucun titre,No summary - Aucun sommaire,111630-1991,1991,1991-1992,"Sikkema, Arnold",The University of British Columbia,Physics,British Columbia,15238.0,Not available,1967 Science and Engineering Scholarships,Schol/Fellow: Maths/Phys Sc (H),Theoretical physics and chemistry,Not available,No Co-Researcher,No Partners,100021,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100021
No title - Aucun titre,No summary - Aucun sommaire,119535-1991,1991,1991-1992,"Sikkema, Arnold",University of Guelph,Physics,Ontario,2960.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Theoretical physics and chemistry,Not available,No Co-Researcher,No Partners,100022,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100022
No title - Aucun titre,No summary - Aucun sommaire,115855-1991,1991,1991-1992,"Silas, Patricia",McGill University,Physics,Québec,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Atomic and molecular studies,Not available,No Co-Researcher,No Partners,100023,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100023
The microbiology of airsacculitis syndrome and other respiratory problems in slaughter-age turkeys,No summary - Aucun sommaire,104709-1990,1990,1991-1992,"Silim, Amer",Université de Montréal,Pathologie et microbiologie,Québec,32400.0,2-3,Industrially Oriented Research Grants,University/Industry,Microbiology,Psychology,No Co-Researcher,Canadian Turkey Marketing Agency,100024,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100024
No title - Aucun titre,No summary - Aucun sommaire,119403-1991,1991,1991-1992,"Sills, David",York University,Earth & Atmospheric Science,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Atmospheric science,Not available,No Co-Researcher,No Partners,100025,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100025
No title - Aucun titre,No summary - Aucun sommaire,118314-1991,1991,1991-1992,"Sills, Kenneth",The University of Western Ontario,Astronomy,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Astronomy and astrophysics,Not available,No Co-Researcher,No Partners,100026,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100026
No title - Aucun titre,No summary - Aucun sommaire,96910-1990,1990,1991-1992,"Sills, Terrence",University of Toronto,Psychology,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Behavioural neuroscience,Not available,No Co-Researcher,No Partners,100027,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100027
No title - Aucun titre,No summary - Aucun sommaire,108952-1991,1991,1991-1992,"Sills, Terrence",University of Toronto,Psychology,Ontario,11112.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Behavioural neuroscience,Not available,No Co-Researcher,No Partners,100028,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100028
No title - Aucun titre,No summary - Aucun sommaire,96443-1990,1990,1991-1992,"Silva, Kathleen",University of Manitoba,Psychology,Manitoba,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Behaviour,Not available,No Co-Researcher,No Partners,100029,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100029
Crystal chemical studies of rock-forming minerals at high temperatures,No summary - Aucun sommaire,8009-1995,1995,1996-1997,"Peterson, Ronald",Queen's University,Geological Sciences,Ontario,11500.0,2-4,Discovery Grants Program - Individual,Solid Earth Sciences,"Mineralogy, crystal chemistry and crystallography",Earth sciences,No Co-Researcher,No Partners,10003,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10003
No title - Aucun titre,No summary - Aucun sommaire,96566-1990,1990,1991-1992,"Silveira, Brian",University of Toronto,Electrical Engineering,Ontario,5019.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Integrated circuits,Not available,No Co-Researcher,No Partners,100030,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100030
No title - Aucun titre,No summary - Aucun sommaire,108876-1991,1991,1991-1992,"Silveira, Brian",University of Toronto,Electrical Engineering,Ontario,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Integrated circuits,Not available,No Co-Researcher,No Partners,100031,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100031
Applications of heuristic solution procedures to problems in industrial engineering and operational research,No summary - Aucun sommaire,1485-1990,1990,1991-1992,"Silver, Edward",University of Calgary,Management (Faculty),Alberta,50000.0,2-3,Discovery Grants Program - Individual,Industrial Engineering,Logistics,Production and operations management,No Co-Researcher,No Partners,100032,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100032
Inverted microscope,No summary - Aucun sommaire,107212-1991,1991,1991-1992,"Silver, Julie",University of Toronto,Life Sciences - Scarborough,Ontario,10065.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Cell Biology,Not available,Life sciences (including biotechnology),No Co-Researcher,No Partners,100033,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100033
Cell and molecular biology of fungal development,No summary - Aucun sommaire,9993-1989,1989,1991-1992,"Silver, Julie",University of Toronto,Life Sciences - Scarborough,Ontario,30000.0,3-3,Discovery Grants Program - Individual,Cell Biology & Genetics (H),Microbiology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100034,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100034
No title - Aucun titre,No summary - Aucun sommaire,118790-1991,1991,1991-1992,"Silverman, David",Queen's University,Biology,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,100035,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100035
Hormonal aspects of the imperfect albino chicken,No summary - Aucun sommaire,105774-1991,1991,1991-1992,"Silversides, Frederick",Université Laval,Zootechnie,Québec,22000.0,1-3,Discovery Grants Program - Group,Animal Biology (H),Animal reproduction,Animal production and animal primary products,No Co-Researcher,No Partners,100036,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100036
Computer-aided design methods in electromagnetics,No summary - Aucun sommaire,1750-1989,1989,1991-1992,"Silvester, Peter",McGill University,Electrical Engineering,Québec,57000.0,3-5,Discovery Grants Program - Individual,Electrical Engineering (H),Electromagnetics,Engineering,No Co-Researcher,No Partners,100037,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100037
Generation of sulfuric acid from off gas of hot gas adsorbent regeneration,No summary - Aucun sommaire,100838-1990,1990,1991-1992,"Silveston, Peter",University of Waterloo,Chemical Engineering,Ontario,23500.0,2-2,Strategic Projects - Group,"Ind.Mat., Products & Processes (H)",Chemical engineering,"Oil, gas and coal",No Co-Researcher,No Partners,100038,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100038
"Modelling of transient behaviour of catalytic reactors and catalyst systems; to support visit of Y.S. Matros, Institute of Catalysis, Siberian Branch, USSR Academy of Sciences, Novosibirsk, USSR",No summary - Aucun sommaire,106649-1990,1990,1991-1992,"Silveston, Peter",University of Waterloo,Chemical Engineering,Ontario,12000.0,1-1,International: Foreign Researcher (H),International Relations (H),Chemical engineering,"Industrial chemicals (solvents, resins)",No Co-Researcher,No Partners,100039,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100039
Interaction between roots and mycorrhizal fungi,No summary - Aucun sommaire,5470-1992,1992,1996-1997,"Peterson, Larry",University of Guelph,Botany,Ontario,70000.0,5-5,Discovery Grants Program - Individual,Plant Biology & Food Science,Animal biology,Agriculture and primary food production,No Co-Researcher,No Partners,10004,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10004
Periodic operation of catalytic reactors,No summary - Aucun sommaire,6080-1990,1990,1991-1992,"Silveston, Peter",University of Waterloo,Chemical Engineering,Ontario,40000.0,2-3,Discovery Grants Program - Individual,Chem. & Metallurgical Eng.,Chemical engineering,"Industrial chemicals (solvents, resins)",No Co-Researcher,No Partners,100040,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100040
The development of a sharp cone test,No summary - Aucun sommaire,6110-1990,1990,1991-1992,"Silvestri, Vincenzo",École Polytechnique de Montréal,Génie civil,Québec,21000.0,2-3,Discovery Grants Program - Individual,Civil Engineering,Geotechnical engineering (including engineering geology),Structural engineering,No Co-Researcher,No Partners,100041,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100041
"International Symposium on Non-Conventional Egg Uses and Newly Emerging Processing Technologies, Banff, Alberta, April 21-24, 1992",No summary - Aucun sommaire,118514-1991,1991,1991-1992,"Sim, Jeong",University of Alberta,Animal Science,Alberta,16000.0,1-1,Strategic Grants  - Conference (H),"Food, Agri. & Aquaculture (H)",Not available,Not available,No Co-Researcher,No Partners,100042,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100042
Development of an expert system for water desalination process,No summary - Aucun sommaire,105766-1991,1991,1991-1992,"Simandl, Jana",McGill University,Chemical Engineering,Québec,20500.0,1-3,Discovery Grants Program - Individual,Chem. & Metallurgical Eng.,Separation processes,"Industrial chemicals (solvents, resins)",No Co-Researcher,No Partners,100043,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100043
Etudes moléculaires et immunobiologiques du virus herpès bovin de type-1,No summary - Aucun sommaire,106053-1991,1991,1991-1992,"Simard, Claire",Institut Armand-Frappier,Virologie,Québec,15000.0,1-3,Discovery Grants Program - Individual,Molec. & Develop. Genetics,Molecular genetics,Life sciences (including biotechnology),No Co-Researcher,No Partners,100044,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100044
Hypokinésie/hypodynamie: Ananlyse des mécanismes de régénération des muscles âgés,No summary - Aucun sommaire,2319-1989,1989,1991-1992,"Simard, Clermont",Université Laval,Éducation physique,Québec,13000.0,3-3,Discovery Grants Program - Individual,Animal Biology (H),Animal biology,Human pharmaceuticals,No Co-Researcher,No Partners,100045,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100045
No title - Aucun titre,No summary - Aucun sommaire,112933-1991,1991,1991-1992,"Simard, Richard",Université de Montréal,Inform. & rech opérationnelle,Québec,4962.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Robotics,Not available,No Co-Researcher,No Partners,100046,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100046
Development of biosensors for fatty products,No summary - Aucun sommaire,6465-1991,1991,1991-1992,"Simard, Ronald",Université Laval,Sciences technologie des aliments,Québec,20558.0,1-3,Discovery Grants Program - Individual,Plant Biology & Food Science,Food science and technology,Not available,No Co-Researcher,No Partners,100047,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100047
Debittering properties of Lactobacillus strains added to cheese,No summary - Aucun sommaire,100725-1990,1990,1991-1992,"Simard, Ronald",Université Laval,Agriculture et alimentation (Fac.),Québec,53813.0,2-3,Strategic Grants - Individual (H),"Food, Agri. & Aquaculture (H)",Not available,Processed food products and beverages,No Co-Researcher,No Partners,100048,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100048
No title - Aucun titre,No summary - Aucun sommaire,110774-1991,1991,1991-1992,"Simard, Stephane",York University,Biology,Ontario,5192.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,100049,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100049
No title - Aucun titre,No summary - Aucun sommaire,191097-1996,1996,1996-1997,"Peterson, Shelley",University of Guelph,Land Resource Science,Ontario,10380.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Agricultural engineering,Not available,No Co-Researcher,No Partners,10005,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10005
No title - Aucun titre,No summary - Aucun sommaire,113155-1991,1991,1991-1992,"Simard, Stéphane",Université de Montréal,Physique,Québec,15000.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Plasma physics,Not available,No Co-Researcher,No Partners,100050,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100050
Solid-state NMR studies of membrane dynamics and structure,No summary - Aucun sommaire,106136-1991,1991,1991-1992,"Siminovitch, David",University of Lethbridge,Physics,Alberta,31698.0,1-2,Discovery Grants Program - Individual,Anal. & Phys. Chemistry,Biophysical chemistry,Physical sciences,No Co-Researcher,No Partners,100051,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100051
Solid-state nuclear magnetic resonance (nmr) spectrometer,No summary - Aucun sommaire,122165-1992,1992,1991-1992,"Siminovitch, David",University of Lethbridge,Physics,Alberta,133577.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Anal. & Phys. Chemistry,Biophysical chemistry,Physical sciences,No Co-Researcher,No Partners,100052,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100052
Laser spectroscopy of impurities in solids,No summary - Aucun sommaire,5531-1990,1990,1991-1992,"Simkin, David",McGill University,Chemistry,Québec,34000.0,2-3,Discovery Grants Program - Individual,Anal. & Phys. Chemistry,Physical chemistry,Physical sciences,No Co-Researcher,No Partners,100053,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100053
Reinforced concrete structures and computer aided design,No summary - Aucun sommaire,1691-1990,1990,1991-1992,"Simmonds, Sidney",University of Alberta,Civil Engineering,Alberta,24000.0,2-3,Discovery Grants Program - Individual,Civil Engineering,Concrete structures,Materials performance,No Co-Researcher,No Partners,100054,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100054
Self aligned refractory metal contacts and an etched interconnect scheme for opto-electronic integrated circuits,No summary - Aucun sommaire,45336-1989,1989,1991-1992,"Simmons, John",McMaster University,Engineering Physics,Ontario,96080.0,3-3,Strategic Projects - Group,Ind.Materials & Processes (H),Electron devices,Transport equipment,"Davies, JohnJessop, PaulThompson, David",No Partners,100055,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100055
NSERC/BNR Industrial Research Chair in Optoelectronic & Microelectronic Devices & Materials,No summary - Aucun sommaire,46094-1985,1985,1991-1992,"Simmons, John",McMaster University,Engineering Physics,Ontario,506675.0,3-5,Industrial Research Chairs,University/Industry,Electron devices,Transport equipment,No Co-Researcher,Nortel Networks Corporation,100056,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100056
No title - Aucun titre,No summary - Aucun sommaire,36237-1986,1986,1991-1992,"Simmons, Stanley",Queen's University,Electrical Engineering,Ontario,30500.0,Not available,University Research Fellowships (H),Univ. Res. Fellowships (H),Not available,Not available,No Co-Researcher,No Partners,100057,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100057
Algorithms and architectures for decoding high rate data communications,No summary - Aucun sommaire,106813-1991,1991,1991-1992,"Simmons, Stanley",Queen's University,Electrical Engineering,Ontario,22000.0,1-3,Discovery Grants Program - Individual,Electrical Engineering (H),Mathematics of communications,"Communication systems and services (planning, organization, services)",No Co-Researcher,No Partners,100058,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100058
Ecophysiologie et écogénétique de populations d'espèces végétales de grande amplitude écologique,No summary - Aucun sommaire,9970-1990,1990,1991-1992,"Simon, JeanPierre",Université de Montréal,Sciences biologiques,Québec,45000.0,2-3,Discovery Grants Program - Individual,Evolution & Ecology,Plant and tree biology,"Animal management (animal diseases, breeding)",No Co-Researcher,No Partners,100059,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100059
Synaptic structure and plasticity,No summary - Aucun sommaire,292-1994,1994,1996-1997,"Petit, Ted",University of Toronto,Life Sciences - Scarborough,Ontario,20000.0,3-4,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Not available,Not available,No Co-Researcher,No Partners,10006,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10006
No title - Aucun titre,No summary - Aucun sommaire,118765-1991,1991,1991-1992,"Simon, Patrice",Giro Inc.,Bureau chef,Québec,3200.0,Not available,Experience Awards (previously Industrial Undergraduate Student Research Awards),Schol/Fellow: Eng/Comp Science (H),Software and development,Not available,No Co-Researcher,No Partners,100060,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100060
